adv_id,Captação,Tipo de Captação,Data
Assessor_12,"10068300,00",TED,2020-09-21 00:00:00
Assessor_15,"6002624,33",TED,2020-04-22 00:00:00
Assessor_12,"3941196,50",ST,2020-08-26 00:00:00
Assessor_7,"3663500,00",TED,2020-10-28 00:00:00
Assessor_15,"3316250,00",TED,2020-04-24 00:00:00
Assessor_15,"3127479,00",TED,2020-05-22 00:00:00
Assessor_22,"3114141,45",TED,2020-05-14 00:00:00
Assessor_31,"3085000,00",TED,2020-07-10 00:00:00
Assessor_42,"3059700,00",ST,2020-01-23 00:00:00
Assessor_42,"3000000,00",ST,2020-01-20 00:00:00
Assessor_52,"2892977,76",PREV,2020-09-11 00:00:00
Assessor_23,"2797956,86",ST,2020-10-21 00:00:00
Assessor_29,"2596213,00",ST,2020-08-10 00:00:00
Assessor_48,"2237312,71",TED,2020-06-01 00:00:00
Assessor_37,"2088760,00",ST,2020-10-26 00:00:00
Assessor_20,"2050491,24",PREV,2020-10-19 00:00:00
Assessor_22,"2019853,00",TED,2019-11-08 00:00:00
Assessor_42,"1979605,56",ST,2020-10-23 00:00:00
Assessor_43,"1977426,00",PREV,2020-09-18 00:00:00
Assessor_40,"1938026,34",PREV,2020-09-25 00:00:00
Assessor_31,"1928350,06",TED,2020-10-29 00:00:00
Assessor_23,"1751512,45",ST,2020-07-29 00:00:00
Assessor_3,"1619460,00",TED,2020-08-11 00:00:00
Assessor_14,"1522645,00",ST,2019-11-26 00:00:00
Assessor_3,"1504815,64",TED,2020-08-13 00:00:00
Assessor_36,"1500000,00",CEX,2020-10-02 00:00:00
Assessor_42,"1495866,06",TED,2020-07-24 00:00:00
Assessor_43,"1494815,00",TED,2020-07-21 00:00:00
Assessor_42,"1489894,17",TED,2020-07-29 00:00:00
Assessor_19,"1470805,82",ST,2020-06-04 00:00:00
Assessor_28,"1470047,33",ST,2020-09-25 00:00:00
Assessor_1,"1399465,67",ST,2020-02-21 00:00:00
Assessor_35,"1380920,98",PREV,2020-09-08 00:00:00
Assessor_43,"1366797,68",TED,2020-07-17 00:00:00
Assessor_5,"1322657,56",ST,2020-06-15 00:00:00
Assessor_52,"1305799,00",ST,2020-10-20 00:00:00
Assessor_5,"1298900,00",TED,2020-03-16 00:00:00
Assessor_31,"1264400,00",TED,2020-09-11 00:00:00
Assessor_14,"1249880,00",TED,2020-09-11 00:00:00
Assessor_21,"1208243,24",TD,2020-02-27 00:00:00
Assessor_23,"1207009,49",PREV,2020-06-22 00:00:00
Assessor_43,"1199266,84",PREV,2020-07-27 00:00:00
Assessor_31,"1176885,04",TED,2020-09-10 00:00:00
Assessor_23,"1176026,11",TED,2020-09-08 00:00:00
Assessor_29,"1162086,00",TED,2020-09-01 00:00:00
Assessor_4,"1160898,64",PREV,2020-09-08 00:00:00
Assessor_31,"1144542,82",TED,2020-08-10 00:00:00
Assessor_7,"1104242,66",TED,2020-10-27 00:00:00
Assessor_35,"1103800,00",TED,2020-06-16 00:00:00
Assessor_31,"1097036,45",TED,2020-08-25 00:00:00
Assessor_28,"1050931,00",ST,2020-10-16 00:00:00
Assessor_5,"1026166,06",TED,2020-10-09 00:00:00
Assessor_23,"1005960,00",TED,2020-08-24 00:00:00
Assessor_43,"1002534,72",TED,2019-11-29 00:00:00
Assessor_31,"991254,66",TED,2020-07-17 00:00:00
Assessor_29,"986842,00",ST,2020-10-22 00:00:00
Assessor_31,"973300,00",ST,2020-06-15 00:00:00
Assessor_19,"968700,00",TED,2020-09-03 00:00:00
Assessor_48,"953391,93",TED,2020-07-16 00:00:00
Assessor_23,"951528,66",ST,2020-10-23 00:00:00
Assessor_22,"939831,85",ST,2020-05-05 00:00:00
Assessor_27,"913081,50",TD,2019-11-22 00:00:00
Assessor_5,"906400,00",TED,2020-09-21 00:00:00
Assessor_27,"885703,86",TD,2019-11-27 00:00:00
Assessor_27,"877844,29",ST,2020-01-20 00:00:00
Assessor_28,"873558,37",TED,2020-08-24 00:00:00
Assessor_28,"871458,55",ST,2020-08-25 00:00:00
Assessor_14,"863319,13",TED,2020-03-09 00:00:00
Assessor_10,"858068,80",TED,2020-07-13 00:00:00
Assessor_35,"850828,90",TED,2020-07-14 00:00:00
Assessor_42,"845978,05",TED,2020-03-02 00:00:00
Assessor_29,"841803,49",TED,2020-09-21 00:00:00
Assessor_23,"838907,88",ST,2020-09-10 00:00:00
Assessor_19,"829712,00",ST,2020-09-18 00:00:00
Assessor_10,"820486,85",PREV,2020-03-26 00:00:00
Assessor_35,"803000,00",TED,2020-06-23 00:00:00
Assessor_36,"798830,08",TED,2019-10-28 00:00:00
Assessor_5,"797088,00",ST,2019-11-07 00:00:00
Assessor_29,"795728,40",ST,2020-06-08 00:00:00
Assessor_1,"788000,00",TED,2020-05-22 00:00:00
Assessor_5,"785045,92",TED,2020-09-28 00:00:00
Assessor_31,"765627,00",ST,2019-10-21 00:00:00
Assessor_19,"760350,00",ST,2020-06-03 00:00:00
Assessor_42,"759529,69",TED,2019-11-08 00:00:00
Assessor_36,"755000,00",TED,2020-06-04 00:00:00
Assessor_14,"747000,00",TED,2020-07-06 00:00:00
Assessor_48,"743881,30",ST,2020-01-21 00:00:00
Assessor_12,"743680,00",OTA,2020-09-23 00:00:00
Assessor_35,"729311,42",PREV,2020-02-04 00:00:00
Assessor_33,"717109,66",PREV,2020-06-05 00:00:00
Assessor_35,"717000,00",TED,2020-06-12 00:00:00
Assessor_27,"715500,00",TED,2020-06-22 00:00:00
Assessor_31,"708523,17",ST,2019-10-03 00:00:00
Assessor_10,"705997,58",TED,2020-09-11 00:00:00
Assessor_1,"705855,40",ST,2020-04-15 00:00:00
Assessor_19,"705200,00",ST,2020-08-21 00:00:00
Assessor_23,"703800,00",TED,2020-02-18 00:00:00
Assessor_27,"703372,50",ST,2019-12-09 00:00:00
Assessor_5,"698298,04",ST,2019-12-10 00:00:00
Assessor_28,"697798,61",TD,2020-09-15 00:00:00
Assessor_48,"697000,00",TED,2020-10-29 00:00:00
Assessor_42,"692500,00",TED,2019-12-05 00:00:00
Assessor_23,"692024,00",PREV,2020-07-15 00:00:00
Assessor_27,"687158,48",ST,2020-10-15 00:00:00
Assessor_12,"682997,14",PREV,2020-05-19 00:00:00
Assessor_35,"680720,12",TED,2020-06-15 00:00:00
Assessor_5,"673618,00",ST,2020-05-26 00:00:00
Assessor_10,"670500,00",TED,2020-02-27 00:00:00
Assessor_3,"668691,60",ST,2020-04-29 00:00:00
Assessor_25,"656516,01",TED,2020-10-05 00:00:00
Assessor_23,"653880,00",TED,2020-10-07 00:00:00
Assessor_23,"650660,00",TED,2020-10-27 00:00:00
Assessor_48,"640552,50",ST,2020-02-12 00:00:00
Assessor_31,"633552,41",ST,2020-01-07 00:00:00
Assessor_46,"629852,48",TED,2020-08-26 00:00:00
Assessor_27,"628047,85",TED,2020-08-21 00:00:00
Assessor_21,"616406,86",PREV,2020-03-04 00:00:00
Assessor_48,"614826,55",RF,2020-02-18 00:00:00
Assessor_22,"610467,20",TED,2020-03-10 00:00:00
Assessor_22,"609446,43",PREV INTERNA,2020-06-12 00:00:00
Assessor_26,"608524,40",ST,2020-06-16 00:00:00
Assessor_19,"607400,00",TED,2020-08-21 00:00:00
Assessor_16,"606732,09",ST,2020-10-14 00:00:00
